,PRODUCTCODE,pdt_inclexcl_ENG_CONTENT,pdt_product_detail_PRODUCTDESCRIPTION,pdt_inclexcl_ENG_CONTENT_lang
15312,441111P3,Audio guide device as per your language ; Entry ticket for louvre ,"What makes our Louvre Museum ticket truly exceptional is the unique fusion of convenience and enlightenment it provides. This ticket isn't just an entry pass; it's an invitation to a personalized artistic adventure. As you step into the hallowed halls of the Louvre, you're not merely a spectator but an active explorer, thanks to the invaluable companion of our audio guide.
The audio guide doesn't merely provide information; it creates connections, weaving together the threads of history, culture, and artistry. It brings the sculptures, paintings, and historical artifacts to life, allowing you to feel the pulse of each creation. And, should you desire, it tailors your journey with thematic tours, 
It transforms a simple visit into an artistic odyssey, an education, and a personal connection with the world's cultural heritage. Book your ticket today, and prepare to embark on a truly extraordinary exploration of art at the Louvre.",fr
15325,442201P2,Blanket ; Guided tours ; Tips,"Experience the timeless charm of Central Park with our enchanting horse carriage tour! Step into a world of tranquility as you glide through iconic landmarks, from Bethesda Terrace to Strawberry Fields. Let our expert guides regale you with fascinating tales of the park's history and celebrity sightings. Whether it's a romantic outing or a family adventure, our carriage tour promises unforgettable memories amidst the beauty of New York City's crown jewel. The Horse and Carriage Central Tour offers a unique blend of history, elegance, and nostalgia as you explore the city's landmarks in a classic way. With expert guides sharing fascinating stories and insights, it's a journey back in time, immersing you in the charm of yesteryears amidst the modern hustle and bustle.",nl
15330,442833P1,Video content ; Audio guide; Trivia games ; Offline access to audio& video ; Entry tickets ,"Embark on an enchanting Parisian journey with our immersive video-audio self-guided walking tour. This meticulously crafted experience will lead you along a thoughtfully designed route, allowing you to explore the city's historic gems, including the Marais quarter, the awe-inspiring Notre Dame Cathedral,the spellbinding Sainte-Chapelle, the vibrant Latin Quarter, and more. But that's not all – we've also woven street art discoveries and engaging trivia into your journey.

Our 2-hour English tour lets you explore Paris at your own pace. It's suitable for all age groups and accessible to everyone. Enjoy the flexibility to choose a time that suits you for this delightful adventure. 

Join us for an extraordinary exploration of Paris that blends the best of the past and present.",it
15331,442833P2,Video guide; Audio guide; Offline digital tour ; Trivia game,"Welcome to ""The Charm of Montmartre at Your Pace"" – an exclusive tour crafted just for you! ️Immerse yourself in the allure of this historic neighborhood with captivating videos and rich audio commentary.

️Discover the heart of Montmartre through fascinating tales and insider anecdotes shared by locals. Keep the adventure alive with trivia along the way – test your knowledge and have fun!

Uncover secret spots, local favorites, and charming corners beyond the guidebooks. Explore Montmartre on your terms, from the comfort of your device. No fixed schedules, no rush. It's YOUR exploration. Pause, rewind, and take in the magic of Montmartre at your own pace. Download and take the tour offline.

Join us in unraveling the soul of Montmartre – where every cobblestone tells a story, and every corner is a canvas of creativity. Your adventure awaits! 
Choose our digital tour and let the magic begin! 
See you in Montmartre! ",it
15412,44899P1,Professional guide,"This 2-hour guided walking tour around Madison Square Park seeks out what's left to be found of the Gilded Age city, reading the architecture and decoding the street walls in a neighborhood that was once the city center.  Where the city came from (Soho), and where it moved to (Times Square, Museum Mile, and the shops of Fifth Avenue), is explained in short order. You’ll learn answers to questions you didn’t know you had about New York City, and leave with the deeply satisfying sense of understanding a city that author James Baldwin called 'spitefully incoherent'.",it
15413,44899P10,Local guide; Professional guide,"While it’s very much part of the city today, a great many of the buildings on the Upper West Side, among them gorgeous brownstones and beaux arts apartment-hotels, were built when the area was a residential suburb. As time went on and the city grew the character of the neighborhood would evolve to accommodate and incorporate the urban sprawl of the uptown growth of the city. This walking tour makes sense of the streets in the area today, using images to show what the streets originally looked in their first transformation from farmland, how the streetscapes changed with buildings being replaced or altered, and how the different avenues of the Upper West Side developed to the beat of their own drum.",es
15414,44899P12,Local guide; Professional guide,"This image and information-packed walking tour makes sense of an inscrutable history. The streets of SoHo contain a fashionable world class city of gorgeous cast iron buildings dating from the 1850s, 60s, and 70s when Broadway was one long promenade of fine shops, theaters and hotels. By the 1880s, 90s, and 00s that fashionable city was overrun with business manufacturing and industry. And those buildings are just as  beautiful! 

The history that created the streetwalls of SoHo was a streaming, intergenerational, decades-long onslought of a bygone suburbia overrun by fine shops, theaters, hotels and museums, and that in turn overrun by buildings for warehousing, manufacturing and industry. Which beaufiful, ornament and gargoyle-encrusted buildings date from the era of Broadway as promenade, and which are from an era when no fashionable lady would be caught below Bleecker Street, is the fun and wholly counter-intuitive part of this walking tour.",es
15419,44899P4,Local guide; Professional guide,"From the Five Points and Mulberry Bend, through the Italian and Jewish immigrant waves, and finally what is today's Chinatown, this tour explores the development of a rustic landscape of lakes and farms into what became the mostly densely overcrowded neighborhood on earth barely 100 years ago.  The incremental step-by-step process of putting the need for adequate housing over the drive for profit to house the immigrant poor, from disease-ridden cellar dwelling in tumble down shanties. to pre-, old- and new-law tenements, this tour uses pictures to show what is no longer there, and finds what continues to stand in the street walls today to tell the immensely rich, tragic and redemptive story of New York's Lower East Side.",es
15420,44899P6,Professional guide,"This 2.5 hour walking tour around the Midtown Manhattan shows-and-tells the fascinating stories of holdouts—the intriguing side effect of Manhattan's pressure cooker real estate industry: when a property owner (or lease holder) refused to sell to a developer, forced them to rework their plans, and forever changed the city streetscape.

 Stories, like the elderly lady who never knew any other home; or the poker player-like landlord who overplayed his hand; or the restauranteur whose long term lease (justifiably) demanded budget-busting sums, all add a human dimension to these transactional anomalies. And personal stories that were otherwise lost, are awesomely amplified by the everlasting impression left behind: seemingly ill-planned entrances for skyscrapers, odd shaped buildings, 20-story tall notches in office towers, are just some of the 16 examples of holdouts we'll see.

This tour is based on the book, Holdouts! By Alpern and Durst.",it
15423,449003P1,walking tour ,"See the 5 important areas of the city uniquely, you will be guided through historical landmarks, and learn more about the French culture, a patchwork of local communities and customs, its art, exquisite food, and its fashion. Our walk will start at the Latin Quarter and end in the Marais, the old Marshland area. Of course, we will also be able to get a taste of the French traditional delicatessens. Usually takes 3.5 hours, avoid the crazy traffic and be safe.
Saint-Germain-des-Pres is known for the literary and artistic celebrities who lived and worked there. A charming neighborhood, with the Church of Saint-Sulpice built in the 17th century, with foundations from the 12th century.
Ile Saint-Louis and the Ile de la Cite in the heart of Paris have some of the finest monuments. The Cathedral of Notre-Dame de Paris is one of them. Narrow cobblestone and elegant architecture. 
We will end our tour by visiting the Marais district with many communities, and the Place des Vosges.",af
15511,455584P1,2023 C8 Corvette ,"Welcome to the ultimate Time Square experience!Buckle up for a thrilling adventure as you navigate the iconic streets of NYC in style, behind the wheel of a powerful Corvette Stingray 
At NYC Corvette tour, we pride ourselves on offering a unique and unparalleled experience that sets us apart from the rest. We are the ONLY tour company in New York City that allows you to cruise through the heart of Time Square in a sleek and sophisticated Corvette Stingray. Upon arrival, you'll be greeted by our knowledgeable and friendly tour guides. Whether you choose to drive the Corvette or relax as a passenger, get ready to immerse yourself in the vibrant energy of Time Square the dazzling hub of entertainment, shopping, and culture. As you rev your engines, the neon lights and towering billboards of Time Square will come to life in a way you've never experienced before. Feel the adrenaline rush as you drive a lap around this iconic location, capturing the essence of the city's heartbeat.",no
15535,458202P1,Tips,"Beyond its picturesque appeal, the Latin Quarter exudes intellectual energy thanks to prestigious institutions like the Sorbonne. Green spaces, such as the Luxembourg Gardens, offer havens of tranquility amidst the urban bustle that your guide will explore with you!

Your tour will be an exploration of authentic Parisian flavors, reflecting the cultural diversity of the neighborhood. Between artisan shops and local markets, you'll discover a unique culinary palette. Immerse yourself in the eclectic atmosphere and historical richness of the Quarter during this gastronomic adventure.

Indeed, you'll meet your guide in front of the Odéon metro station (they will carry a green umbrella) and stroll through the streets of the Latin Quarter, discovering quality dishes at each stop. A new sweet flavor will surprise you until the end of the circuit, concluding just 4 minutes away from the Panthéon!",id
15543,459696P3,VR Session ,We are the most Immersive VR Arena in the entire world. We have a 2000 square foot game floor where all of our games are played and you can play up to 8 players at a time!,fi
15579,460396P1, Multi-language Audio Guide; Louvre Ticket ,"Welcome to an extraordinary travel experience that goes beyond the ordinary – a journey that immerses you in the unparalleled beauty and cultural richness of the Louvre Museum in Paris. Here's why booking our product ensures a truly unique and fascinating adventure:
Multilingual Guides: Our guides are fluent in multiple languages, ensuring that language is never a barrier to your understanding and appreciation of the artworks. Enjoy a comprehensive tour experience in the language of your choice.

Exclusive Access: By choosing our product, you gain privileged access to one of the world's most renowned cultural institutions. Skip the lines and enjoy a seamless entry into the Louvre, maximizing your time to explore the treasures within.",fr
15604,461694P1,EMF Detectors; Gratuities,,nl
15611,462461P1,Your Driver /Guide ,"This tour allows you to see all of the main attractions of New York City with an expert and personable guide / driver. Along the way he will recommend shopping, restaurants and entertainment for you. This tour is an ideal orientation to the City and allows you to know where to go and how to get there in the following days of your visit. Imagine. The Statue of Liberty. Empire State Building. Times Square and so much more.",nl
15620,462880P1,10 beautiful photos per person,"This is a photo tour that will take you to the most beautiful spots around the Eiffel Tower that only a local would know about. Your moment in Paris will be immortalized through photos that I will be taking of you during our little tour. I am a professional fashion photographer and have been taking photos for 10 years. I will make sure we get you the best possible photos, as portrayed in my portfolio. I am passionate about what I do and enjoy the process of creating beautiful images very much. Check my IG to see more of my work : jellyfishinparis. ",fr
15687,46479P14,Kayaks; Paddleboards,"This 4 hour excursion takes you along the Austin Skyline all the way down to Barton Creek. While on this journey you'll be able to see many buildings of note including the Owl Building, The Austonian, and the Independent/Jenga Tower. You'll hear the fascinating stories and personal anecdotes behind each locations unique history.

This experience offers a once in a lifetime opportunity to float down Barton Creek amidst the downtown skyline. Enjoy a delicious lunch with us while on the waterfront!

Every guide on your journey will be able to answer any questions you may come up with along the way. The best part about our guides is that each one has their own unique tour and specialties! Meaning you'll never get the same tour twice!",id
15704,466827P1,painting material,"The workshop is led by a professional painter, living and working in Paris. The art workshop takes place on a private family boat, moored in the very center of Paris, which is stylishly equipped. During the workshop you will create two projects in a pleasant environment. One will be focused on fashion design, you will learn to draw a stylized fashion silhouette and then design a clothing collection based on it. In the second part of the workshop, which is focused on painting in the impressionist style, you will learn the painting technique of these world-famous painters and master small brushstrokes and color mixing. Brunch will be available during the creation. At the end of the workshop you will have two works of art to take away with you.",id
15716,46878P9,"boissons, couvertures, gilets, toilettes","Embarquez pour une croisière privée et vivez des moments inoubliables en découvrant Paris sous un autre jour. Nous vous offrons un concept inédit de croisières en couple, ou petit comité sur la Seine à bord de notre bateau d'exception, symbole de luxe et de raffinement.",fr
15728,47475P20,Gratuities,"Begin your tour at the Boqueria Market, rated one of the top food markets in the world. As your guide leads you through the patterned walkways, you’ll taste traditional Catalan olives.
Exiting the Boqueria Market, you will find yourself at the scenic Ramblas. Itself a former market, famous for its flower sellers.
Next, we’ll travel back in time with a walk in the streets of the Gothic Quarter, full of antique stores and even an occasional antique market. Continue to the Santa Caterina Market, the first covered market in Barcelona and on your way to the last stop, we’ll also visit a local caganer shop to discover the story of one of Catalonia’s strangest traditions.
Your tour ends at the Market of El Born. Built as a market, this steel and glass structure now houses the remains this neighborhood dating back to the 17th and 18th centuries.",af
15732,47475P25,"Experienced, local guide","Begin your Raval Walking Tour outside the church of Sant Pere Nolasc Mercedaris, located right by the Plaça de Castella. From here, you’ll journey through the vibrant streets of Raval neighborhood. First up, we’ll visit the Casa de la Misericordia, where children were abandoned and some (they say) still walk the halls. Then we’ll stroll down Raval vibrant streets and when you least expect it we’ll stop by the place the Vampire of Raval used to live. But, do vampires ever die? You’ll see for yourself how the lines between life and legend blur with this story of Barcelona’s most infamous serial killer. At the former Hospital of la Santa Creu, wander the garden where shows and spells of the most macabre once took place. We’ll continue to the Church of Sant Pau del Camp, Barcelona’s oldest church with a troubled past. Next you’ll discover Raval southern side. Hear shocking tales of the clubs and cabarets that used to be the main attractions here and a great place to see street art, too. ",es
15748,47475P44,Guided Tour; Gratuities,"Your journey begins in the very heart of the Old Town. Plaça Miquel’s towering Stairway to Heaven is dedicated in honor of one of the most unique forms of physical self expression — human towers as tall as the skyline.

You’ll cross beneath the Bishop’s Bridge, shrouded in legend and mystery. If you look up as you pass under you’ll see the face of Death itself. 

Follow round to the fountain at the Museu del Frederic Marès. Stories of fountains adorned in flowers, eggs that dance, fire-spitting devils, and the curious case of a girl tossed down a hill in a barrel of knives await! 

At the Kiss of Freedom mural you'll hear tales of love and conquest, inspiring their most romantic day of the year.

Bulbous-headed giants parade the streets of Catalonia. When they’re not in use, they are kept safe here in La Casa dels Entremesos.

To wrap up, you’ll learn the Christmas traditions of the Catalan people. Peculiar doesn’t begin to describe how we celebrate the holiday season here.
",af
15749,47475P49,Guided walking tour,"Begin at Plaça de la Virreina where you'll jump into typical daily life. Amid bustling outdoor cafes, you’ll hear the troubled history of the Virreina. 
At Plaça del Diamant, you’ll learn about a Catalan classic by Mercè Rodoreda’s. Her book shows the world of the Civil War through the lens of a female protagonist.
At Plaça de les Dones del 36, the Spanish Civil War is at the back again, but in a different way as you learn about the role women had in holding the frontier as gunfire rained. 
Plaça de la Revolució will tell of the Glorious Revolution and why it is so important to the Catalan people today.
The Plaça del Raspall, hidden away, is known for its music performances as the home of Gràcia gitano community. They shaped the face of Spanish music and of Catalan Rumba.
Finally, we come to Plaça de la Vila de Gràcia with its 108-foot clock tower whose bell was rung by a local woman to win a war. It’s the perfect end to our tour of Gràcia and its rich legacy of community and spirit.
",af
15752,47475P51,Guided walking tour,"On this tour, you'll learn about the saga of its creation, the vision of the man who conceived it, and the many symbols and stories hidden in its sculptured façades.

You’ll begin your tour at the Nativity Façade where the first bricks were laid on the project nearly a century and a half ago. You’ll see the Nativity brought to life through the sculpture as your guide points out the details to look for. This side of the church is the one that best displays Gaudí’s genius. As you work your way around the basilica, your guide will introduce you to all the intricacies of this modernist masterpiece, and the vision the legendary architect had in mind for it. Gaudí’s unfinished architectural marvel is not without its challenges, including the current controversy surrounding the Glory façade that has divided much of Barcelona. Finish your guided walking tour at the park where you’ll get to take in the whole structure of this awe-inspiring architectural marvel from a picture-perfect spot.
",af
15806,50228P3,Guide; Walking tour,"Want to do something spooky, but you don’t believe in ghosts? Well, neither do we. Mostly. Sure, there was that time Auntie Gertrude appeared in the kitchen and berated us for still being single… but that was probably just the tequila talking.

The ghost thing may be up in the air, but what do we believe in? Murder, mayhem, and the CIA. So we’ve put together a tour for the kind of people who know that the orb in that picture is probably just a lens flare, but still want to go to the spot where a hippie got cut in half and stuffed in a boiler, or see where the CIA used prostitutes to dose unsuspecting men with LSD. Join us for this one-of-a-kind Halloween tour, covering locations and true bloody New York stories you won’t see or hear anywhere else. And if you happen to hear the voice of the dead hippie crying out from beyond the grave, well… that’s on you.",af
15817,50242P2,Tour includes Professional Guide.,"We are the highest ranked Contrast Tours company on Tripadvisor. We have over 1000 5-star feedback because we are different:
-We go on foot and by public transport through the Bronx, Queens and Brooklyn, very different from seeing the city through the windows of a bus.
-We are New York guides
-Unlike stereotyped van tours, the guides give a real and personal view of New York.
-Because we are small groups we can enter different places and we go much deeper.
-The group not only sees the Bronx, Queens and Brooklyn but also walks its streets, enters its premises and has an authentic New York experience.
** This shared tour is 6.5 hours. It is usually a 9-10 km walk.
** On our page, we have more tour options including tailor-made private tours. Note that the system does not show all the available dates. Contact us directly for other dates and tours *",fr
15843,50343P5,Phone Holder; Bike Lock; Helmet; E-Bike damage insurance $5.99,"Enjoy a ride on a fully electric bike. Best and fastest way to explore New York City. Over 1,200 miles (1,920km) of Bike Lanes will allow you safely explore the city without worrieng about traffic or parking. Bikes are easy to lock almost anywhere, and we provide strong bike lock with the rental. ",da
16066,51919P27,A scavenger hunt kit!,"Discover the Covered Passages of Paris with this kids scavenger hunt! Your kid-expert guide has lost a special treat for your children in the covered passages of Paris. In this scavenger hunt, your kids will have to follow clues to find magical numbers hidden in the covered passages while your guide tells you all about the rich history around you. After you have completed the scavenger hunt, your children will be rewarded with a sweet treat, and you can all enjoy a warm drink in a typical Parisian café with your guide! 
",no
16067,51919P28,A scavenger hunt kit!,"Discover the Covered Passages of Paris with your kids in this scavenger hunt! Your kid-expert guide got a special holiday treat for your children, but the reindeer dropped it off at the wrong location! Your guide is very talented but doesn’t speak reindeer, but luckily the reindeer left behind some clues so you can find it. In this Christmas game, your kids will have to follow clues to find magical numbers. After you have completed the scavenger hunt, your children will be rewarded with a sweet holiday treat, and you can all enjoy a warm drink in a typical Parisian café with your guide! ",no
16080,51948P4,Gratuities,"Come and enjoy an unforgettable moment of sailing with us near Barcelona’s coastline.
Our professional team will make this activity unique and unforgettable. We love meeting the people from all over the world and make them feel that they are welcome to our beautiful city. Feel free to ask everything you want to know about sailing and about Barcelona. We will be happy to share our knowledge with you. ",af
16081,51948P5,Gratuities,"Come and enjoy an unforgettable moment of sailing with us near Barcelona’s coastline.
Our professional team will make this activity unique and unforgettable. We love meeting the people from all over the world and make them feel that they are welcome to our beautiful city. Feel free to ask everything you want to know about sailing and about Barcelona. We will be happy to share our knowledge with you. 
",af
16104,52288P2,Private Guide,"The Pere Lachaise is a surprising open-air museum of 70,000 graves, 44 hectares and 5,300 trees. 

Avoid the noisy big groups and chose to live this experience in a more intimate way. Chat and get to know more, the guide will reveal you the secrets and the legends of the past and present. The tour can be just for you alone, for your couple, for your family or for your group of friends. And all the special requests will be fulfilled. 

Many are the celebrities buried here, local and international. Jim Morrison, Oscar Wilde, Isadora Duncan, Gertrude Stein, Maria Callas, Marcel Proust, Chopin, Moliere, Delacroix, Piaf, Marceau and so many others that often visitors miss. Our guide knows how to find them all and put them in a thread, using shortcuts off the beaten paths and will let you discover unusual spots of landscaped beauty.

The tour is about 2 hours, but it's you who decide everything, it's your private tour!",ro
16157,5250P56,Museum entrance ticket; Expert tour guide; Gratuities,"Discover the vast Metropolitan Museum of Art with ExperienceFirst. Over 2 million artworks spanning 5,000 years await. Our guides will make this journey extraordinary.

Be captivated by ancient Egyptian, Greek, Roman, and European masterpieces. Explore contemporary expressions and gain profound insights into art's impact on our world.

For first-timers or enthusiasts, our tour offers engaging narratives, delving into history, emotions, and themes. Ignite curiosity and leave with a deeper appreciation for artistic expression. Experience the Met with us.

Included:
2-hour guided tour
Skip-the-line access to the Met",fr
16174,5252P19,Beverages; Unlimited drinks (open bar),"TREAT YOURSELF TO SOMETHING SPECIAL

See the awe-inspiring Macy's July 4th fireworks display light up the sky over the East River.

You can’t get any closer to the action, just step aboard the massive Clipper City Tall Ship for a front row seat to the festivities.

Learn the ropes as you join the crew to help raise the sails or sit back and take in the sights from the serene vantage point of two of America's most beautiful and historic operating sailing ships. The show will feature more than 40,000 shells exploding at a rate of more than 1,500 per minute and fireworks reaching heights of 1,000 feet in the air.",af
16177,5252P22,90 Minute Golden Hour Sail,"Experience the breathtaking beauty of New York City on this 1.5 hour cruise around New York Harbor. Enjoy a scenic view of the Manhattan, Brooklyn and New Jersey skylines illuminated against the nighttime sky, featuring the Empire State Building and One World Trade Center. See close-ups of the Statue of Liberty, Ellis Island, and much more — a great way to end a long day of sightseeing or kick off a night on the town.",de
16298,5411P252,Expert Guide; Small Group Guided Tour,"This tour of Brooklyn heads across the Brooklyn Bridge to explore the social, political, and cultural contexts of NYC's most populous (and trendiest) borough. After walking the bridge, we'll spend much of our time in Brooklyn Heights, contemplating its original role as respite from Manhattan Island while navigating its lush, tree-lined streets. After, we'll work our way to DUMBO, whose converted warehouses—now office spaces, trendy cafés, and high-end restaurants—show another side of Brooklyn's development.",ca
16332,54414P104,technology,Discover some of Austins most haunted corners with an augmented reality scavenger hunt. ,cy
16338,54414P11,Food & Drinks; Gratuity,"A strange portal has appeared in the sky and dangerous monsters are pouring into our world. Only the bravest and cleverest heroes can collect the crystals and solve the riddles in order to save our world from utter chaos!

The AR Adventure Austin fantasy-based augmented-reality experience for 5-5,000 players. The AR technology allows you to immerse yourself in the city as you solve riddles and puzzles with the equipment we provide for you. Solve the puzzles and save the world before time runs out!",af
16352,54414P20,Gratuity; Food & Drinks,"A strange portal has appeared in the sky and dangerous monsters are pouring into our world. Only the bravest and cleverest heroes can collect the crystals and solve the riddles in order to save our world from utter chaos!

The AR Adventure Austin fantasy-based augmented-reality experience for 5-5,000 players. The AR technology allows you to immerse yourself in the city as you solve riddles and puzzles with the equipment we provide for you. Solve the puzzles and save the world before time runs out!",af
16356,54414P29,Food & Drinks; Gratuity,"A strange portal has appeared in the sky and dangerous monsters are pouring into our world. Only the bravest and cleverest heroes can collect the crystals and solve the riddles in order to save our world from utter chaos!

We also offer an extra murder mystery game for your enjoyment! Become a crime scene investigator solving the mystery of Albert Einstein's grim demise!

The AR Adventure Austin fantasy-based augmented-reality experience for 2-5,000 players. The AR technology allows you to immerse yourself in the city as you solve riddles and puzzles with the equipment we provide for you. Solve the puzzles and save the world before time runs out!",af
16364,54414P36,iPad rental; Drinks,"Austin Cluetivity combines the best elements of a classic treasure hunt, GPS-Geocaching and Live-Escape-Games with Augmented Reality Technology into a new INDOOR team game. Enjoy some time exercising your thinking skills from out of the Texas heat. The basic game-play is simple: Use your iPad to analyze a virtual crime scene where you will use a chalked outline symbol of a body to see Einstein’s crime scene. The object is to guess from a list of options how Einstein died based upon the clues given in the game. In addition, play an AR game to unlock a magical chest by solving complex elements that will get an octopus to let go of the latches that are holding the chest closed.",af
16365,54414P37,iPad rental; Drinks,"Austin Cluetivity combines the best elements of a classic treasure hunt, GPS-Geocaching and Live-Escape-Games with Augmented Reality Technology into a new INDOOR team game. Enjoy some time exercising your thinking skills from out of the Texas heat. The basic game-play is simple: Use your iPad to analyze a virtual crime scene where you will use a chalked outline symbol of a body to see the crime scene from Einstein's untimely death. The object is to guess from a list of options how Einstein died based upon the clues given in the game all while staying out of the Texas heat. In addition, play an AR game to unlock a magical chest by solving complex elements that will get an octopus to let go of the latches that are holding the chest closed.",af
16375,54414P46,Drinks,"WHAT YOU CAN EXPECT

 During this evening bar hop, you will game yourself through Austin’s entertainment districts popular bars by using an iPad with a pre-loaded game. Participants must be at least 21 years of age.This game contains puzzles and question/answer boxes and a bit of Augmented Reality that will require you to locate physical clues on EAST 6TH Street inside and outside bars. Expect FUN challenges on your journey to interesting and popular bars with drink specials.",lt
16399,54414P68,Technology,Discover the city of bats while playing an augmented reality game that will challenge your mind and get you moving!,cy
16400,54414P69,technology,Discover Austins busiest streets with this augmented reality scavenger hunt that will take you to some of the most famous bars!,cy
16405,54414P73,Technology,Revitalize your gameday with our augmented reality games! ,cy
16406,54414P74,Technology,An AR game that stops at whats rumored to be the most haunted hotel in Austin! ,cy
16419,54414P87,Technology,An augmented reality tour of some more underground and less publicized Austin bars. ,cy
16463,54816P2,Guided beer tasting,"Discover the elaboration process of the Mediterranean beer Estrella Damm and enjoy a special tasting experience visiting the Estrella Damm brewery in El Prat de Llobregat, on a 90-minute guided tour.",af
16564,5557P25,Local taxes; Local guide,"New York City arguably has more great sights per mile than anywhere else in the world, so why not make the absolute most of it with a 3-hour, 9-mile bike adventure through the city that never sleeps? Your guide, a highly-rated, professionally-licensed New York City tour guide, will take you on one of the most exciting rides of your life. Starting right by the Brooklyn Bridge on the Manhattan side, the tour takes you to Battery Park, Little Italy, and Chinatown before riding up to Washington Square Park. From there, our guide will take you along the Hudson Greenway. See where Sully Sullenberger famously landed a plane on the Hudson. You will view the newly constructed Vessel and Highline, then bike toward Times Square, Madison Square Garden, and the Empire State Building!",ca
16571,5557P43,"Helmets, Baskets/Bike Bags, Locks; Gratuity","Lower Manhattan offers some of the most unique neighborhoods, iconic landmarks, and breathtaking sights that you won't find anywhere else in New York City. Our Dutch tour goes out daily, and is a 2 hour experience that encompasses essential must-see attractions! Our guides provide in-depth narration and stops for photo opportunities at famous sights and hidden gems throughout the tour.",sv
16582,5567BCNCOASTHELI,Helicopter ride; gratuities,"Your helicopter tour begins at the Barcelona heliport, located near the cruise ship docks. You will take off and fly over the Mediterranean coast of Barcelona. From the old fishing district of Barceloneta to Marbella beach, the views are breathtaking. You will also pass by the World Trade Center, the Columbus Statue, the Maremagnum and the Forum of Cultures.

",ro
16622,5579P2,Drinks,"Visit some of Brooklyn's most beautiful neighborhoods for a tour of three incredible pizzerias. Get exclusive access behind the counter and witness some of the best pizza makers in NYC. Our guide reacts to the group and takes you to pizzerias that will answer YOUR pizza questions! 

",lt
16672,5636P2,Guide; Cruise,"Embark on one of our cruise boats and discover all the secrets of Paris thanks to the expert knowledge of our guide by passing by the most emblematic monuments of Paris: the Eiffel Tower, Notre-Dame Cathedral, Orsay Museum, Louvre Museum, Grand Palais ... This cruise has been created in order to surprise you between breathtaking views of the monuments on the docks of the Seine river and unique comments. Parisians or visitors, adults or children, wonderement assured.
The best way to visit Paris, guaranteed without blister on your feet!

Options:
- Champagne: a glass of Duval Leroy Champagne (Brut, Blanc de Blanc, Rosé)",nl
16673,5636P3,Cruise,"Why choosing one terrace, when you can choose all the terraces along the Seine in one hour? 

Board one of our boats for an aperitive cruise where monuments and docks serve as a scenery. As a couple or with friends, enjoy a convivial moment in an electro house atmosphere, a drink in your hand. The musical background has been created by the famous parisian DJ Tommy Marcus to live an unique experience on the Seine river.

Each of our boats has been decorated to make the adventure like no other!
On board, welcome to our bar where you can complete your aperitive cruise as you wish! Drinks, snacks on request, with on-site payment.
",fr
16674,5636P4,Guide; Cruise,"Discover Paris with the family on our family friendly sightseeing cruise: Paris with Kids. On board, our local guided will welcome you to share with you all the secrets and anecdotes of Paris. 
On board, possibility to add a sweet crêpe or a cookie and a soft drink for the kids and a glass of Champagne for the adults!",fr
16676,5637BB,Local guide,"Hear captivating stories about the construction of the Brooklyn Bridge as you cross this incredible landmark on our Brooklyn Bridge and DUMBO Neighborhood walking tour. Enjoy unparalleled views of the famous and beautiful New York City skyline from Brooklyn – a photo opportunity you can’t miss while in New York! 

Then, explore the trendy Brooklyn neighborhood of DUMBO, known for its galleries, shops, and scenic waterfront views, with your expert NYC tour guide. This 2.5 hours walking tour is a great way to learn more about New York City, enjoy the beautiful Brooklyn DUMBO waterfront and get stunning views of the city while crossing the Brooklyn Bridge.
",es
16682,5637P13,Local guide; Professional guide,"The Statue of Liberty and Ellis Island have captured the imagination of thousands of visitors to NYC because of their significance as symbols of American freedom and opportunity. Discover the secrets of the origin, design, and construction of these iconic American destinations. Listen to the stories of immigrants who made their way through Ellis Island after a perilous and uncertain journey. Enjoy gorgeous and panoramic views of the Statue of Liberty and New York harbor before getting off at Liberty Island. Once on Liberty Island, enjoy outstanding views of NYC. Then, conclude your tour at Ellis Island.",es
16838,5717P49,guide; Tips; Transfer,"A few steps away from the Quai des Orfèvres, follow in the footsteps of the most fantastic and famous business that struck the heart of Paris from the 14th century to today. Like an investigator, you will go back over the course of time and the course of the Seine and will shiver before the coldness of the crimes that will be told you. From the Palace of Justice to the Conciergerie, through the darkest lanes, you will discover what motivated these famous criminals to take action.",ca
16840,5717P51,Guide; personal expenses; Tips,"Through this guided historical walk, walk the neighborhoods of Saint-Germain and the Bourbon Palace in search of visible or hidden traces of Freemasonry in the capital. These scattered symbols illustrate the taste of secrecy that characterizes the Masonic initiation rite: its new members are introduced by cooptation and are required not to reveal the identity of other members throughout their initiation. The Masonic secret has always fueled fantasies and misconceptions about this order born in Great Britain in 1717. Your passionate guide will teach you to distinguish the signs and decipher the truth from the false to focus on the historical origin of Freemasons, their organization, the main figures, and above all, their importance in the formation of our society.

",ca
16882,57338P9,Electric Minibike Rental; Helmet; Bike Lock,We’ve been the #1 Outdoor Adventure in Austin for three years! During this current health crisis we know that everyone is wanting to get outside and do things with their family but they just don’t know what to do that is safe and allows for social distancing. That’s what makes our electric minibike rentals so important for our community right now! The family that rides together doesn't go crazy sheltering in place together!,nl
